step,prompt,score
1,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.95
1,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.95
1,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.95
1,"You are a news categorizer. Identify the category of the news report and classify it as World, Sports, Business and Tech, based on its primary theme.",1.0
1,"Analyze the content of a news piece to identify a category for it from ""World"", ""Sports"", ""Business"", ""Tech"" if the article's main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",1.0
1,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.95
1,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.95
1,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.95
1,"You need to categorize the provided passage as ""World"", ""Sports"", ""Tech"" or ""Business",1.0
1,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
2,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.95
2,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.95
2,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.95
2,"You are a news categorizer. Identify the category of the news report and classify it as World, Sports, Business and Tech, based on its primary theme.",1.0
2,"Analyze the content of a news piece to identify a category for it from ""World"", ""Sports"", ""Business"", ""Tech"" if the article's main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",1.0
2,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.95
2,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.95
2,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.95
2,"You need to categorize the provided passage as ""World"", ""Sports"", ""Tech"" or ""Business",1.0
2,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
3,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.95
3,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.95
3,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.95
3,"You are a news categorizer. Identify the category of the news report and classify it as World, Sports, Business and Tech, based on its primary theme.",1.0
3,"Analyze the content of a news piece to identify a category for it from ""World"", ""Sports"", ""Business"", ""Tech"" if the article's main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",1.0
3,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.95
3,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.95
3,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.95
3,"You need to categorize the provided passage as ""World"", ""Sports"", ""Tech"" or ""Business",1.0
3,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.9
4,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.95
