step,prompt,score
1,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6
1,"Classify the given text according to its emotional tone as one of the following: terrible, bad, okay, good, or great.",0.6
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.55
1,"Evaluate the sentiment of the given text and classify it into one of five categories: terrible, bad, okay, good, or great.",0.55
1,"Evaluate the provided text and rate its sentiment on a five-point scale: terrible, bad, okay, good, or great.",0.55
1,"Classify the sentiment of the provided movie review into one of the following categories: terrible, bad, okay, good, or great.",0.55
1,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.55
1,"Categorize the given text into a sentiment rating of terrible, bad, okay, good, or great based on its tone and opinion.",0.55
1,"Rate the provided movie review on a scale of terrible, bad, okay, good, or great, according to its overall sentiment.",0.5
1,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.5
2,"Determine the sentiment of the provided text and categorize it as one of the following: terrible, bad, okay, good, or great, based on its emotional tone.",0.6
2,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6
2,"Classify the given text according to its emotional tone as one of the following: terrible, bad, okay, good, or great.",0.6
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.55
2,"Evaluate the sentiment of the given text and classify it into one of five categories: terrible, bad, okay, good, or great.",0.55
2,"Evaluate the provided text and rate its sentiment on a five-point scale: terrible, bad, okay, good, or great.",0.55
2,"Classify the sentiment of the provided movie review into one of the following categories: terrible, bad, okay, good, or great.",0.55
2,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.55
2,"Categorize the given text into a sentiment rating of terrible, bad, okay, good, or great based on its tone and opinion.",0.55
2,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, taking into account its tone, opinion, and review-style context.",0.5
3,"Evaluate the sentiment of the given text, classifying it as terrible, bad, okay, good, or great, by analyzing its tone, opinion, and emotional resonance.",0.7
3,"Categorize the provided text based on its sentimental value as terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
3,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, considering its tone and expressed opinion.",0.65
3,"Label the sentiment of the provided movie review as terrible, bad, okay, good, or great, based on its overall emotional sentiment.",0.65
3,"Rate the sentiment of the given text on a scale of terrible, bad, okay, good, or great, based on its emotional tone.",0.6
3,"Determine the sentiment of the provided text and categorize it as one of the following: terrible, bad, okay, good, or great, based on its emotional tone.",0.6
3,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6
3,"Classify the given text according to its emotional tone as one of the following: terrible, bad, okay, good, or great.",0.6
3,"Analyze the provided text and categorize its emotional tone as terrible, bad, okay, good, or great, reflecting the overall sentiment conveyed.",0.6
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.55
4,"Evaluate the sentiment of the given text, classifying it as terrible, bad, okay, good, or great, by analyzing its tone, opinion, and emotional resonance.",0.7
4,"Categorize the provided text based on its sentimental value as terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
4,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, considering its tone and expressed opinion.",0.65
4,"Label the sentiment of the provided movie review as terrible, bad, okay, good, or great, based on its overall emotional sentiment.",0.65
4,"Rate the sentiment of the given text on a scale of terrible, bad, okay, good, or great, based on its emotional tone.",0.6
4,"Evaluate the emotional tone of the given text and categorize it into one of five sentiment categories: terrible, bad, okay, good, or great.",0.6
4,"Determine the sentiment of the provided text and categorize it as one of the following: terrible, bad, okay, good, or great, based on its emotional tone.",0.6
4,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6
4,"Classify the given text according to its emotional tone as one of the following: terrible, bad, okay, good, or great.",0.6
4,"Categorize the sentiment of the input text into one of the following labels: terrible, bad, okay, good, or great, and return the label only.",0.6
5,"Evaluate the sentiment of the given text, classifying it as terrible, bad, okay, good, or great, by analyzing its tone, opinion, and emotional resonance.",0.7
5,"Categorize the provided text based on its sentimental value as terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
5,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, considering its tone and expressed opinion.",0.65
5,"Label the sentiment of the provided movie review as terrible, bad, okay, good, or great, based on its overall emotional sentiment.",0.65
5,"Rate the sentiment of the given text on a scale of terrible, bad, okay, good, or great, based on its emotional tone.",0.6
5,"Evaluate the emotional tone of the given text and categorize it into one of five sentiment categories: terrible, bad, okay, good, or great.",0.6
5,"Determine the sentiment of the provided text and categorize it as one of the following: terrible, bad, okay, good, or great, based on its emotional tone.",0.6
5,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6
5,"Classify the given text according to its emotional tone as one of the following: terrible, bad, okay, good, or great.",0.6
5,"Categorize the sentiment of the input text into one of the following labels: terrible, bad, okay, good, or great, and return the label only.",0.6
6,"Evaluate the sentiment of the given text, classifying it as terrible, bad, okay, good, or great, by analyzing its tone, opinion, and emotional resonance.",0.7
6,"Categorize the provided text based on its sentimental value as terrible, bad, okay, good, or great, reflecting its emotional tone.",0.7
6,"Rate the sentiment of the provided text as terrible, bad, okay, good, or great, considering its tone and expressed opinion.",0.65
6,"Label the sentiment of the provided movie review as terrible, bad, okay, good, or great, based on its overall emotional sentiment.",0.65
