step,prompt,score
1,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.7
1,"You are given a question. You need to detect which category better describes the question. Answer with ""Description"", ""Entity"", ""Expression"", ""Human"", ""Location"", and ""Number"".",0.6
1,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.6
1,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
1,"You are required to categorize the given statement into its correct category: Description, Entity, Expression, Human, Location, or Number.",0.75
1,"Determine the category that best describes this sentence: Description, Entity, Expression, Human, Location, or Number.",0.3
1,"Identify the category of the phrase by assigning it to one of the following options: Description, Entity, Expression, Human, Location, or Number.",0.4
1,"Assign this sentence to one of these categories: Description, Entity, Expression, Human, Location, or Number.",0.2
1,"Identify the suitable label for this sentence by recognizing the most fitting class from the following options: Description, Entity, Expression, Human, Location, or Number.",0.4
1,"Select the correct label to the given text from the following categories: Description, Entity, Expression, Human, Location, or Number.",0.45
2,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.7
2,"You are given a question. You need to detect which category better describes the question. Answer with ""Description"", ""Entity"", ""Expression"", ""Human"", ""Location"", and ""Number"".",0.6
2,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.6
2,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
2,"You are required to categorize the given statement into its correct category: Description, Entity, Expression, Human, Location, or Number.",0.75
2,"Determine the category that best describes this sentence: Description, Entity, Expression, Human, Location, or Number.",0.3
2,"Identify the category of the phrase by assigning it to one of the following options: Description, Entity, Expression, Human, Location, or Number.",0.4
2,"Assign this sentence to one of these categories: Description, Entity, Expression, Human, Location, or Number.",0.2
2,"Identify the suitable label for this sentence by recognizing the most fitting class from the following options: Description, Entity, Expression, Human, Location, or Number.",0.4
2,"Select the correct label to the given text from the following categories: Description, Entity, Expression, Human, Location, or Number.",0.45
3,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.7
3,"You are given a question. You need to detect which category better describes the question. Answer with ""Description"", ""Entity"", ""Expression"", ""Human"", ""Location"", and ""Number"".",0.6
3,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.6
