step,prompt,score
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
1,"Given a sentence, classify it as either positive or negative sentiment.",0.85
1,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
1,"Given text, classify whether it is positive or negative.",0.75
1,Classify a sentence as expressing optimism or pessimism.,0.7
1,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
1,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",0.65
1,"Please evaluate review text as either positive or negative sentiment, considering the context and meaning of the movie review.",0.7
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
2,"Given a sentence, classify it as either positive or negative sentiment.",0.85
2,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
2,"Given text, classify whether it is positive or negative.",0.75
2,Classify a sentence as expressing optimism or pessimism.,0.7
2,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
2,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
2,"Please evaluate review text as either positive or negative sentiment, considering the context and meaning of the movie review.",0.7
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
3,"Given a sentence, classify it as either positive or negative sentiment.",0.85
3,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
3,"Given text, classify whether it is positive or negative.",0.75
3,"The objective is to classify the sentiment of movie review statements, considering the full context, as one of the following categories: optimism or pessimism.",0.75
3,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
3,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
3,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
4,"Given a sentence, classify it as either positive or negative sentiment.",0.85
4,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
4,"Given text, classify whether it is positive or negative.",0.75
4,"The objective is to classify the sentiment of movie review statements, considering the full context, as one of the following categories: optimism or pessimism.",0.75
4,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
4,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
4,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
5,"Given a sentence, classify it as either positive or negative sentiment.",0.85
5,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
5,"Given text, classify whether it is positive or negative.",0.75
5,"The objective is to classify the sentiment of movie review statements, considering the full context, as one of the following categories: optimism or pessimism.",0.75
5,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
5,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
5,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
6,"Given a sentence, classify it as either positive or negative sentiment.",0.85
6,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
6,"Given text, classify whether it is positive or negative.",0.75
6,"The objective is to classify the sentiment of movie review statements, considering the full context, as one of the following categories: optimism or pessimism.",0.75
6,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
6,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
6,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
7,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
7,"Given a sentence, classify it as either positive or negative sentiment.",0.85
7,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
7,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
7,"The objective is to classify the sentiment of movie review statements, considering the full context, as one of the following categories: optimism or pessimism.",0.75
7,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
7,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
7,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
8,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
8,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
8,"Given a sentence, classify it as either positive or negative sentiment.",0.85
8,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
8,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
8,"The objective is to categorize passages in movie reviews and determine their sentiment as either positive or negative, while considering the full",0.8
8,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
8,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
8,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
9,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
9,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
9,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
9,"Given a sentence, classify it as either positive or negative sentiment.",0.85
9,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
9,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
9,"The objective is to categorize passages in movie reviews and determine their sentiment as either positive or negative, while considering the full",0.8
9,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
9,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
9,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
10,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
10,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
10,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
10,"Given a sentence, classify it as either positive or negative sentiment.",0.85
10,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
10,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
10,"The objective is to categorize passages in movie reviews and determine their sentiment as either positive or negative, while considering the full",0.8
10,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
10,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
10,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
11,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
11,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
11,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
11,"Given a sentence, classify it as either positive or negative sentiment.",0.85
11,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
11,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
11,"The objective is to categorize passages in movie reviews and determine their sentiment as either positive or negative, while considering the full",0.8
11,"The objective is to classify the sentiment of phrases in movie reviews, taking into account the meaning and context",0.8
11,"Analyze the review text to categorize it as either positive or negative sentiment, considering the context and meaning of the sentiment towards the movie.",0.9
11,"The goal is to determine the sentiment of a phrase in movie review text, and classify it as either positive or negative sentiment, while considering the context and meaning.</",0.85
12,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
12,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
12,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
12,"Given a sentence, classify it as either positive or negative sentiment.",0.85
12,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
12,"As a sentiment classifier, analyze movie review extracts and determine the sentiment of a text as either positive or negative.",0.85
12,"The objective is to categorize passages in movie reviews and determine their sentiment as either positive or negative, while considering the full",0.8
