step,prompt,score
1,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.45
1,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.35
1,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.3
1,"Analyze an English question and identify which category it belongs to: Description, Entity, Expression, Human, Location, or Number.",0.3
1,"Classify this sentence into one of the six question categories: Description, Entity, Expression, Human, Location, or Number.",0.25
1,"Classify this question: Description, Entity, Expression, Human, Location, or Number",0.25
1,"Classify this question into one of the following categories: ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Please return the corresponding category as a single word.",0.25
1,"Categorize the question into one of the following categories: 'Description', 'Entity",0.25
1,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.2
1,"Classify the given question by assigning a single label from the categories: Description, Entity, Expression, Human, Location, Number.",0.2
2,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.45
2,"Classify the question into one of the six categories: 'Description', Entity, Expression, Human, Location, or Number.",0.4
2,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.35
2,"Identify the type of question: Description, Entity, Expression, Human, Location, or Number, based on the given text.",0.35
2,"Identify the dominant category of the question from the options: Description, Entity, Expression, Human, Location, Number, selecting the most fitting label.",0.35
2,"Here's the step-by-step process to generate a better prompt:

1. Crossover the following prompts:

Prompt 1: Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.
Prompt 2: Classify the given question by assigning a single label from the categories: Description, Entity, Expression, Human, Location, Number.

Crossover Prompt: Classify the text as one of the following categories: Description, Entity, Expression, Human, Location, Number.

2. Mutate the prompt generated in Step 1:

Mutated Prompt: Identify the category that the given question best fits into from the options: Description, Entity, Expression, Human, Location, Number.

Final Prompt: [Identify the category that the given question best fits into from the options: Description, Entity, Expression, Human, Location, Number.]",0.35
2,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.3
2,"Identify the category that best describes this sentence, selecting one of the six question types: Description, Entity, Expression, Human, Location, or Number.",0.3
2,"Classify the given question into one of the six categories: 'Description', 'Entity', 'Expression', 'Human', 'Location', or 'Number'.",0.3
2,"Based on the provided question, categorize it into one of the six types: Description, Entity, Expression, Human, Location, or Number. Select the most suitable category from the options.",0.3
3,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.45
3,"Classify the question into one of the six categories: 'Description', Entity, Expression, Human, Location, or Number.",0.4
3,"Classify the given question as one of ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'] and return the corresponding label.",0.4
3,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.35
3,"Identify the type of question: Description, Entity, Expression, Human, Location, or Number, based on the given text.",0.35
3,"Identify the dominant category of the question from the options: Description, Entity, Expression, Human, Location, Number, selecting the most fitting label.",0.35
3,"Here's the step-by-step process to generate a better prompt:

1. Crossover the following prompts:

Prompt 1: Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.
Prompt 2: Classify the given question by assigning a single label from the categories: Description, Entity, Expression, Human, Location, Number.

Crossover Prompt: Classify the text as one of the following categories: Description, Entity, Expression, Human, Location, Number.

2. Mutate the prompt generated in Step 1:

Mutated Prompt: Identify the category that the given question best fits into from the options: Description, Entity, Expression, Human, Location, Number.

Final Prompt: [Identify the category that the given question best fits into from the options: Description, Entity, Expression, Human, Location, Number.]",0.35
3,"Given a question, categorize it into one of the following categories: 'Description', Entity, Expression, Human, Location, or Number, and return the corresponding label.",0.35
3,"Determine the most suitable question type from the options: Description, Entity, Expression, Human, Location, Number, for the given text.",0.35
3,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.3
4,"For a given question, identify its type by matching it to one of the categories: Description, Entity, Expression, Human, Location, or Number.",0.55
4,"Classify the given question into one of the six categories: Description, Entity, Expression, Human, Location, or Number, by selecting the primary label.",0.5
4,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.45
4,"Classify the question as either 'Description', 'Entity', 'Expression', 'Human', 'Location', or 'Number' and return the correct label.",0.45
4,"Determine the category of the given question, selecting one from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'].",0.4
4,"Classify the question into one of the six categories: 'Description', Entity, Expression, Human, Location, or Number.",0.4
4,"Classify the given question as one of ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'] and return the corresponding label.",0.4
4,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.35
4,"Identify the type of question: Description, Entity, Expression, Human, Location, or Number, based on the given text.",0.35
4,"Identify the dominant category of the question from the options: Description, Entity, Expression, Human, Location, Number, selecting the most fitting label.",0.35
5,"Identify the question type by assigning a category label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'].",0.55
5,"For a given question, identify its type by matching it to one of the categories: Description, Entity, Expression, Human, Location, or Number.",0.55
5,"Classify the given question into one of the six categories: Description, Entity, Expression, Human, Location, or Number, by selecting the primary label.",0.5
5,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.45
5,"Classify the question: [insert question here] into one of the six categories (Description, Entity, Expression, Human, Location, or Number) and select the primary label that best matches.",0.45
5,"Classify the question as either 'Description', 'Entity', 'Expression', 'Human', 'Location', or 'Number' and return the correct label.",0.45
5,"Determine the category of the given question, selecting one from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'].",0.4
5,"Classify the question into one of the six categories: 'Description', Entity, Expression, Human, Location, or Number.",0.4
5,"Classify the question as one of ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'].",0.4
5,"Classify the given question as one of ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'] and return the corresponding label.",0.4
