step,prompt,score
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,Classify the provided customer review as expressing either positive or negative sentiment.,0.9
1,"Classify the provided customer review as expressing either optimistic or pessimistic sentiment, translating to positive or negative feedback.",0.9
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.85
1,Classify the given sentence as either positive or negative sentiment.,0.85
1,"Given a sentence, classify it as either positive or negative sentiment.",0.8
1,Classify the given text as expressing positive or negative sentiment.,0.8
1,Classify a sentence as expressing optimism or pessimism.,0.8
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,Classify the provided customer review as expressing either positive or negative sentiment.,0.9
2,"Classify the provided customer review as expressing either optimistic or pessimistic sentiment, translating to positive or negative feedback.",0.9
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.85
2,"Classify the sentiment of the provided sentence and return the corresponding label, which can be either 'negative' or 'positive.'",0.85
2,Classify the given text's sentiment as either 'positive' or 'negative'.,0.85
2,Classify the given sentence as either positive or negative sentiment.,0.85
2,Analyze the given sentence and label its sentiment as either positive or negative.,0.85
3,"Classify the provided text as expressing either positive or negative sentiment; Sentiment classification task; Determine the corresponding sentiment label from ['negative', 'positive'].",1.0
3,Analyze the customer review and categorize its sentiment as optimistic (positive) or pessimistic (negative).,0.95
3,Transform the provided customer review into a sentiment label ('negative' or 'positive') by logically categorizing optimistic or pessimistic sentiment.,0.9
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
3,Classify the provided statement as having positive or negative sentiment.,0.9
3,Classify the provided customer review as expressing either positive or negative sentiment.,0.9
3,"Classify the provided customer review as expressing either optimistic or pessimistic sentiment, translating to positive or negative feedback.",0.9
3,Analyze the text's sentiment and categorize it as either positive or negative,0.9
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
4,"Classify the provided text as expressing either positive or negative sentiment; Sentiment classification task; Determine the corresponding sentiment label from ['negative', 'positive'].",1.0
4,Classify the provided customer review as either expressing a positive or negative sentiment.,0.95
4,Analyze the customer review and categorize its sentiment as optimistic (positive) or pessimistic (negative).,0.95
4,Transform the provided customer review into a sentiment label ('negative' or 'positive') by logically categorizing optimistic or pessimistic sentiment.,0.9
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
4,Classify the provided statement as having positive or negative sentiment.,0.9
4,Classify the provided customer review as expressing either positive or negative sentiment.,0.9
4,"Classify the provided customer review as expressing either optimistic or pessimistic sentiment, translating to positive or negative feedback.",0.9
4,Classify each customer review as expressing positive or negative sentiment.,0.9
5,"Classify the provided text as having positive or negative sentiment, determining the corresponding sentiment label from ['negative', 'positive'].",1.0
5,"Classify the provided text as expressing either positive or negative sentiment; Sentiment classification task; Determine the corresponding sentiment label from ['negative', 'positive'].",1.0
5,Classify the provided customer review as either expressing a positive or negative sentiment.,0.95
5,Analyze the customer review and categorize its sentiment as optimistic (positive) or pessimistic (negative).,0.95
5,Analyze the customer review and categorize it as expressing either positive or negative sentiment.,0.95
5,Transform the provided customer review into a sentiment label ('negative' or 'positive') by logically categorizing optimistic or pessimistic sentiment.,0.9
5,"Review the input text, determine its underlying sentiment (positive or negative), and classify it accordingly.",0.9
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
5,Classify the provided statement as having positive or negative sentiment.,0.9
6,"Classify the provided text as having positive or negative sentiment, determining the corresponding sentiment label from ['negative', 'positive'].",1.0
6,"Classify the provided text as expressing either positive or negative sentiment; Sentiment classification task; Determine the corresponding sentiment label from ['negative', 'positive'].",1.0
6,Classify the provided customer review as either expressing a positive or negative sentiment.,0.95
6,Analyze the customer review and categorize its sentiment as optimistic (positive) or pessimistic (negative).,0.95
6,Analyze the customer review and categorize it as expressing either positive or negative sentiment.,0.95
6,Transform the provided customer review into a sentiment label ('negative' or 'positive') by logically categorizing optimistic or pessimistic sentiment.,0.9
6,"Review the input text, determine its underlying sentiment (positive or negative), and classify it accordingly.",0.9
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
