step,prompt,score
1,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
1,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
1,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
1,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
1,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
1,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
1,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.4
1,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
1,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.15
2,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
2,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
2,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
2,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
2,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
2,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
2,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.4
2,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
2,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.15
3,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
3,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
3,"Examine the comment provided and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
3,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
3,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
3,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
3,"Categorize the movie review provided into one of five degrees based on the sentiment: terrible, bad, okay, good, or great.",0.4
3,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
3,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.15
4,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
4,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
4,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
4,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
4,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
4,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
4,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
4,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
4,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
5,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
5,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
5,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
5,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
5,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
5,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
5,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
5,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
5,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
6,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
6,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
6,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
6,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
6,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
6,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
6,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
6,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
6,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
7,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
7,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
7,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
7,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
7,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
7,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
7,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
7,"Determine the sentiment of the movie review and choose from terrible, bad, okay, good and great to describe the movie.",0.35
7,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
8,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
8,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
8,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
8,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
8,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
8,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
8,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
8,"Consider the movie review details and assess this text to categorize it as one of the five categories: terrible, bad, okay, good, or great.",0.5
8,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
9,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
9,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
9,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
9,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
9,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
9,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
9,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
9,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
9,"Consider the movie review details and assess this text to categorize it as one of the five categories: terrible, bad, okay, good, or great.",0.5
9,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
10,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
10,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
10,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
10,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
10,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
10,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
10,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
10,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
10,"Consider the movie review details and assess this text to categorize it as one of the five categories: terrible, bad, okay, good, or great.",0.5
10,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
11,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
11,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
11,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
11,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
11,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
11,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
11,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
11,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
11,"Consider the movie review details and assess this text to categorize it as one of the five categories: terrible, bad, okay, good, or great.",0.5
11,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
12,"Your job is to evaluate the review and classify it as one of five classes: terrible, bad, okay, good, or great.",0.5
12,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.45
12,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.45
12,"Analyze movie reviews and classify them into one of the following categories: terrible, bad, okay, good, or great.",0.55
12,"Based on the given movie review provided to you and classify it into one of five categories: terrible, bad, okay, good, or great.",0.45
12,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.45
12,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.4
12,"Evaluate the provided text and categorize it into one of five categories based on its sentiment: terrible, bad, okay,",0.45
12,"Consider the movie review details and assess this text to categorize it as one of the five categories: terrible, bad, okay, good, or great.",0.5
12,"Analyze the movie review and assign a sentiment rating to it, choosing from terrible, bad, okay, good, and",0.35
