step,prompt,score
1,evaluate each sentence as either objective or subjective.,0.6
1,"Given a statement, classify it as expressing a subjective or objective opinion.",0.6
1,Which perspective does the sentence express: subjective or objective?,0.55
1,"Identify whether each sentence expresses a subjective or objective opinion, and categorize it accordingly as ""subjective"" or ""objective"".",0.55
1,"Delineate each input sentence as either subjective or objective in nature, describing its capacity to express personal opinions or objective facts.",0.55
1,evaluate each statement as either subjective or objective.,0.5
1,"Identify the given sentence as either subjective or objective in nature, without any ambiguity",0.5
1,"Evaluate the given sentences and categorize each one as either subjective or objective, indicating the intended category based on the first likely response.",0.5
1,"Classify the provided text as either ""subjective"" or ""objective"", distinguishing between personal opinions and factual statements.",0.5
1,identify whether the given sentence was expressing an objective or a subjective opinion.,0.45
2,"Determine whether each input sentence is subjective or objective, based on its distinction between personal opinions and objective facts.",0.7
2,"Determine the perspective of the input text: is it subjective or objective, maintaining the accuracy of the classification.",0.65
2,evaluate each sentence as either objective or subjective.,0.6
2,"Given a statement, classify it as expressing a subjective or objective opinion.",0.6
2,"Determine whether the provided statement expresses an objective fact or a subjective opinion, classifying it accordingly",0.6
2,Which perspective does the sentence express: subjective or objective?,0.55
2,Use the provided sentence to infer whether it embodies a subjective or objective viewpoint.,0.55
2,"Identify whether each sentence expresses a subjective or objective opinion, and categorize it accordingly as ""subjective"" or ""objective"".",0.55
2,Evaluate the provided sentences and categorize each one as either subjective or objective based on its most likely classification.,0.55
2,"Delineate each input sentence as either subjective or objective in nature, describing its capacity to express personal opinions or objective facts.",0.55
3,"Determine the type of opinion expressed in the given sentence, either subjective or objective, based on the context and wording provided.",0.75
3,"Determine whether each input sentence is subjective or objective, based on its distinction between personal opinions and objective facts.",0.7
3,"Determine the perspective of the sentence and classify it as either subjective or objective, ensuring accurate classification.",0.7
3,Determine the nature of each sentence as expressing a subjective or objective opinion.,0.7
3,"Determine the perspective of the input text: is it subjective or objective, maintaining the accuracy of the classification.",0.65
3,Determine the perspective of the given sentence as either subjective or objective.,0.65
3,"Classify each input sentence as subjective or objective, highlighting its distinction between personal opinions and objective facts.",0.65
3,"Classify a given sentence as expressing a subjective or objective opinion accurately, and categorize it accordingly.",0.65
3,evaluate each sentence as either objective or subjective.,0.6
3,"Identify the tone of each sentence as either subjective or objective, distinguishing between personal opinions and objective facts, and categorize it accordingly.",0.6
4,"Determine the type of opinion expressed in the given sentence, either subjective or objective, based on the context and wording provided.",0.75
4,"Determine whether each input sentence is subjective or objective, based on its distinction between personal opinions and objective facts.",0.7
4,"Determine the perspective of the sentence and classify it as either subjective or objective, ensuring accurate classification.",0.7
4,Determine the nature of each sentence as expressing a subjective or objective opinion.,0.7
4,"Determine the perspective of the input text: is it subjective or objective, maintaining the accuracy of the classification.",0.65
4,Determine the perspective of the given sentence as either subjective or objective.,0.65
4,"Classify the provided text as subjective or objective, accurately interpreting its perspective.",0.65
4,"Classify the provided sentences as either subjective or objective, focusing on identifying the presence of personal opinions versus objective truth",0.65
4,"Classify each input sentence as subjective or objective, highlighting its distinction between personal opinions and objective facts.",0.65
4,"Classify a given sentence as expressing a subjective or objective opinion accurately, and categorize it accordingly.",0.65
5,"Determine the type of opinion expressed in the given sentence, either subjective or objective, based on the context and wording provided.",0.75
5,"Identify the provided sentence as expressing a subjective or objective opinion, and accurately categorize it.",0.7
