step,prompt,score
1,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
1,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
1,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
1,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
1,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Identify the emotional tone of the input text, categorizing it as positive, negative, or neutral sentiment.",0.85
1,"Classify the sentiment of the provided movie review text, thoroughly analyzing the sentence's meaning and context to categorize it as either positively or negatively inclined.",0.85
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.8
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.8
2,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
2,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
2,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
2,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
2,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
2,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
2,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,"Classify the provided text's emotional inclination as either overtly positive or distinctly negative, reflecting its underlying sentiment.",0.9
2,"Annotate and categorize the given text as having a positive or negative emotional tone, taking into account both sentence-level and larger textual context.",0.9
3,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
3,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
3,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
3,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
3,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
3,"Determine the sentiment of the provided text by considering its context and meaning, and return a sentiment label ('negative' or 'positive').",0.95
3,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
3,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
3,Determine the sentiment of the given text by categorizing it as 'negative' or 'positive' using a classification system.,0.9
4,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
4,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
4,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
4,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
4,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
4,"Determine the sentiment of the provided text, categorizing it as positive or negative by examining its overall tone and emotional expression.",0.95
4,"Determine the sentiment of the provided text by considering its context and meaning, and return a sentiment label ('negative' or 'positive').",0.95
4,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
4,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
5,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
5,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
5,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
5,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
5,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
5,"Determine the sentiment of the provided text, categorizing it as positive or negative by examining its overall tone and emotional expression.",0.95
5,"Determine the sentiment of the provided text by considering its context and meaning, and return a sentiment label ('negative' or 'positive').",0.95
5,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
5,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
5,"Accurately determine the sentiment of the given text as either positive or negative, taking into account the emotions conveyed, and label the text accordingly with ‘positive’ or ‘negative’ sentiment.",0.95
6,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
6,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
6,"Assess the emotional tone of the given text, categorizing it as positive, negative, or neutral by examining the sentiment in individual sentences and larger blocks of text, considering both tone and emotional expression.",1.0
6,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
6,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
6,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
6,"Determine the sentiment of the provided text, categorizing it as positive or negative by examining its overall tone and emotional expression.",0.95
6,"Determine the sentiment of the provided text by considering its context and meaning, and return a sentiment label ('negative' or 'positive').",0.95
6,"Annotate a sentence or passage as having positive or negative sentiment, considering both single sentences and larger blocks of text.",0.95
6,Analyze the given text to identify its overall sentiment as either positively inclined or negatively inclined.,0.95
7,"Determine the emotional tone of the given text by deciphering its meaning and context, and categorize it as either positive or negative sentiment.",1.0
7,Classify the sentiment of the provided text as either 'negative' or 'positive' using a nuanced understanding of its emotional tone and meaning.,1.0
7,"Assess the emotional tone of the given text, categorizing it as positive, negative, or neutral by examining the sentiment in individual sentences and larger blocks of text, considering both tone and emotional expression.",1.0
7,"Analyze the provided text to determine whether it expresses a positive or negative sentiment, taking into account the context and meaning of the sentence.",1.0
7,"Interpret the sentiment of the provided text, analyzing both single sentences and contiguous passages to identify its emotional tone as positive or negative.",0.95
7,"Identify the sentiment of a provided text, categorizing it as positive or negative in its expression.",0.95
7,"Determine the sentiment polarity of a tweet by classifying it as either positively or negatively inclined, while considering its tone and intent.",0.95
7,"Determine the sentiment of the text by analyzing its emotional undertones, identifying whether it expresses a positive or negative sentiment.",0.95
