task,downstream_llm,random_seed,prompt,test_score
agnews,gpt-4o-2024-05-13,42,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.86
agnews,gpt-4o-2024-05-13,42,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.86
agnews,gpt-4o-2024-05-13,42,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.845
cr,gpt-4o-2024-05-13,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.96
cr,gpt-4o-2024-05-13,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.585
cr,gpt-4o-2024-05-13,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.925
mr,gpt-4o-2024-05-13,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.925
mr,gpt-4o-2024-05-13,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.345
mr,gpt-4o-2024-05-13,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
sst-5,gpt-4o-2024-05-13,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.545
sst-5,gpt-4o-2024-05-13,42,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.425
sst-5,gpt-4o-2024-05-13,42,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.165
sst2,gpt-4o-2024-05-13,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.95
sst2,gpt-4o-2024-05-13,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.4
sst2,gpt-4o-2024-05-13,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.89
subj,gpt-4o-2024-05-13,42,"classify each sentence as either ""objective"" or ""subjective"".",0.665
subj,gpt-4o-2024-05-13,42,"Your task is to classify the comment ""subjective"" or ""objective"".",0.435
subj,gpt-4o-2024-05-13,42,evaluate each sentence as either objective or subjective.,0.615
trec,gpt-4o-2024-05-13,42,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.84
trec,gpt-4o-2024-05-13,42,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.705
trec,gpt-4o-2024-05-13,42,"Please select the correct classification for this sentence: Description, Entity, Expression, Human, Location, or Number.",0.525
agnews,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.885
agnews,meta-llama/Meta-Llama-3-70B-Instruct,42,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.87
agnews,meta-llama/Meta-Llama-3-70B-Instruct,42,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.845
cr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.95
cr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.93
cr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.915
mr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.925
mr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.92
mr,meta-llama/Meta-Llama-3-70B-Instruct,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.845
sst-5,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['terrible', 'bad', 'okay', 'good', 'great']. Return label only without any other text.",0.62
sst-5,meta-llama/Meta-Llama-3-70B-Instruct,42,"In this task, you are given movie reviews. Based on it, classify it to one of the ﬁve classes: (1) terrible, (2) bad, (3) okay, (4) good, and (5) great.",0.535
sst-5,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your objective is to analyze the movie review and allocate it to one of five categories, from terrible to great.",0.04
sst2,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.96
sst2,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your task is to classify the comment ""positive"" or ""negative"".",0.945
sst2,meta-llama/Meta-Llama-3-70B-Instruct,42,"Given a tweet, classify it as having a positive or negative sentiment.",0.89
subj,meta-llama/Meta-Llama-3-70B-Instruct,42,"classify each sentence as either ""objective"" or ""subjective"".",0.465
subj,meta-llama/Meta-Llama-3-70B-Instruct,42,"Your task is to classify the comment ""subjective"" or ""objective"".",0.61
subj,meta-llama/Meta-Llama-3-70B-Instruct,42,evaluate each sentence as either objective or subjective.,0.545
trec,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.67
trec,meta-llama/Meta-Llama-3-70B-Instruct,42,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.595
trec,meta-llama/Meta-Llama-3-70B-Instruct,42,"Please select the correct classification for this sentence: Description, Entity, Expression, Human, Location, or Number.",0.33
