step,prompt,score
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.8
1,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
1,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
1,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
1,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
1,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
1,"Determine the sentiment of a movie review based on a given text, positive or negative.",0.45
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
2,Analyze passages from online comments and categorize them as having a positive or negative sentiment.,0.85
2,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
2,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
2,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
2,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
2,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
2,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
3,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
3,Analyze passages from online comments and categorize them as having a positive or negative sentiment.,0.85
3,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
3,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
3,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
3,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
3,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
3,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
4,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
4,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
4,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
4,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
4,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
4,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
4,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
4,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
5,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
5,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
5,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
5,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
5,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
5,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
5,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
5,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
6,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
6,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
6,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
6,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
6,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
6,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
6,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
6,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
7,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
7,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
7,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
7,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
7,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
7,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
7,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
7,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
7,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
8,"As a sentiment classifier, examine a passage of text and assign a binary sentiment label, either 'negative' or 'positive', while considering the context of the movie review.",0.95
8,"As a sentiment classifier, analyze the written review and classify a phrase in a movie review as expressing either a positive or negative opinion.",0.95
8,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
8,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
8,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
8,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
8,The goal is to categorize portions of text in movie reviews as either positive or negative sentiment.,0.95
8,"Analyze movie reviews as a sentiment classifier, considering the sentence meaning and context, and classify it with a binary sentiment annotation.",0.9
8,"The objective is to annotate the text pieces of movie reviews with a positive or negative sentiment, taking into account the meaning and relevant context.",0.85
8,"As a sentiment classifier, consider a piece of writing with a binary sentiment label and classify the text as a positive or negative",0.95
9,"As a sentiment classifier, examine a passage of text and assign a binary sentiment label, either 'negative' or 'positive', while considering the context of the movie review.",0.95
9,"As a sentiment classifier, analyze the written review and classify a phrase in a movie review as expressing either a positive or negative opinion.",0.95
9,"Examine the written opinion in a movie review and classify it as either ""positive"" or ""negative"", considering the sentence meaning and relevant context.",1.0
9,"The task is to identify the sentiment in movie reviews and determine the emotional tone of a passage. Focus on the sentiment score and categorize it as having a ""positive"" or ""negative"" sentiment, considering the passage meaning and relevant context.",0.9
9,Analyze text in a movie review and predict the sentiment as either positive or negative.,0.95
9,"As a sentiment classifier, analyze review stimulus and render a sentiment judgment on whether it is positive or negative, based on the review material.",0.8
