step,prompt,score
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
1,"Analyze the provided sentence, considering its meaning and context, and categorize it as either positive or negative in sentiment.",0.9
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
1,"Given a sentence, classify it as either positive or negative sentiment.",0.8
1,Determine the sentiment of a given text as positive or negative.,0.8
1,"Determine the sentiment of a given statement as either positive, negative, or neutral.",0.8
2,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
2,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
2,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
2,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
2,"Determine the sentiment of a provided statement, categorizing it as positive or negative.",0.9
3,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
3,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
3,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
3,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
3,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
3,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
3,"Determine the sentiment of a provided statement, categorizing it as positive or negative.",0.9
4,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
4,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
4,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
4,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
4,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
4,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
4,"Determine the sentiment of a provided statement, categorizing it as positive or negative.",0.9
5,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
5,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
5,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
5,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
5,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
5,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
5,"Determine the sentiment of a provided statement, categorizing it as positive or negative.",0.9
6,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
6,"Determine the sentiment of the provided text, labeling it as either ""positive"" or ""negative"".",0.95
6,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
6,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
6,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
6,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
6,"Determine the sentiment of the provided comment, categorizing it as either ""positive"" or ""negative"".",0.9
7,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
7,"Determine the sentiment of the provided text, labeling it as either ""positive"" or ""negative"".",0.95
7,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
7,"Analyze the given text in context and assign a sentiment label of ""positive"" or ""negative"" based on its emotional tone.",0.95
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
7,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
7,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
7,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
7,"Determine the sentiment of the provided sentence, taking into account its context and meaning, and classify it as either 'negative' or 'positive'.",0.9
8,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
8,"Determine the sentiment of the provided text, labeling it as either ""positive"" or ""negative"".",0.95
8,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
8,"Analyze the provided text within its context to categorize its sentiment as either ""positive"" or ""negative"".",0.95
8,"Analyze the given text to identify its sentiment, taking context into account, and label it as either ""positive"" or ""negative"".",0.95
8,"Analyze the given text in context and assign a sentiment label of ""positive"" or ""negative"" based on its emotional tone.",0.95
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
8,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
8,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
8,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
9,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
9,"Determine the sentiment of the provided text, labeling it as either ""positive"" or ""negative"".",0.95
9,"Assign a sentiment label, either ""positive"" or ""negative"", to the provided sentence.",0.95
9,"Analyze the provided text within its context to categorize its sentiment as either ""positive"" or ""negative"".",0.95
9,"Analyze the given text to identify its sentiment, taking context into account, and label it as either ""positive"" or ""negative"".",0.95
9,"Analyze the given text in context and assign a sentiment label of ""positive"" or ""negative"" based on its emotional tone.",0.95
9,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
9,Label the provided statement with either 'positive' or 'negative' based on its sentiment.,0.9
9,"Interpret the provided text, taking into account its meaning and context, and categorize its sentiment as either positive or negative.",0.9
9,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
10,"Label the provided sentence as either ""positive"" or ""negative"" based on its sentiment.",0.95
10,"Evaluate the provided text in its context to label its sentiment as either ""positive"" or ""negative"".",0.95
10,"Determine the sentiment of the provided text, labeling it as either ""positive"" or ""negative"".",0.95
10,"Determine the emotional tone of the provided text and categorize it as either ""positive"" or ""negative"" sentiment.",0.95
10,"Determine the emotional tone of the given text, categorizing it as either 'positive' or 'negative'.",0.95
