step,prompt,score
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"Given a sentence, classify it as either positive or negative sentiment.",0.9
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.8
1,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
1,"Given a social media post, classify whether it conveys a positive or negative emotional tone, and determine the sentiment as either positive or negative.",0.85
1,"Determine the sentiment of a product review based on a given text, positive or negative.",0.65
1,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.6
1,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"Given a sentence, classify it as either positive or negative sentiment.",0.9
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.8
2,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
2,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
2,"Determine the sentiment of a product review based on a given text, positive or negative.",0.65
2,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.6
2,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
3,"Given a sentence, classify it as either positive or negative sentiment.",0.9
3,"Analyze the input information and identify the sentiment of a tweet content, detecting the emotional tone as either positive or negative.</",0.85
3,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
3,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
3,"Determine the sentiment of a product review based on a given text, positive or negative.",0.65
3,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.6
3,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
4,"Given a sentence, classify it as either positive or negative sentiment.",0.9
4,"Analyze the input information and identify the sentiment of a tweet content, detecting the emotional tone as either positive or negative.</",0.85
4,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
4,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
4,"Examine the given text of a product review and assess the emotional perspective, recognizing the attitude as either positive or negative.",0.7
4,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.6
4,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
5,"Given a sentence, classify it as either positive or negative sentiment.",0.9
5,"Analyze the input information and identify the sentiment of a tweet content, detecting the emotional tone as either positive or negative.</",0.85
5,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
5,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
5,"Examine the given text of a product review and assess the emotional perspective, recognizing the attitude as either positive or negative.",0.7
5,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.6
5,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
6,"Given a sentence, classify it as either positive or negative sentiment.",0.9
6,"Analyze the input information and identify the sentiment of a tweet content, detecting the emotional tone as either positive or negative.</",0.85
6,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
6,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
6,"Examine the given text of a product review and assess the emotional perspective, recognizing the attitude as either positive or negative.",0.7
6,"As a sentiment classifier, please assess the given sentence and identify the emotional tone, into positive or",0.7
6,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
7,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
7,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
7,"Given a sentence, classify it as either positive or negative sentiment.",0.9
7,"Analyze the input information and identify the sentiment of a tweet content, detecting the emotional tone as either positive or negative.</",0.85
7,"Now, evaluate the provided text to determine the sentiment polarity expressed in it, whether positive or negative.",0.9
7,Analyze a social media message and categorize it with a sentiment of either positive or,0.9
7,"Examine the given text of a product review and assess the emotional perspective, recognizing the attitude as either positive or negative.",0.7
7,"As a sentiment classifier, please assess the given sentence and identify the emotional tone, into positive or",0.7
7,"Analyze the emotional tone of a piece of customer feedback, from the given input, judge if it is positive or negative.",0.9
8,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
