step,prompt,score
1,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
1,"&lt;Sentiment Analysis&gt; Determine the emotional tone of the provided text, categorizing it as either positive or negative.",0.9
1,"Given a sentence, classify it as either positive or negative sentiment.",0.85
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.8
1,"Determine the sentiment polarity of the given text, automatically classifying it as either positive or negative sentiment.",0.8
1,Determine the sentiment (positive or negative) of the provided statement.,0.8
2,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
2,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
2,"Classify the given statement as having a sentiment of either 'negative' or 'positive', and return the assigned label.",0.9
2,"Classify the given statement as having a positive or negative sentiment and provide a corresponding label from ['negative', 'positive'].",0.9
2,"Classify the given sentence or tweet's sentiment as 'negative' or 'positive', returning the sentiment label.",0.9
2,"&lt;Sentiment Analysis&gt; Determine the emotional tone of the provided text, categorizing it as either positive or negative.",0.9
3,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
3,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
3,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
3,"Assess the emotional tone of the provided text, categorizing it as either 'negative' or 'positive' and specifying the sentiment label.",0.95
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
3,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
3,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
3,"Determine the sentiment of the given statement, categorizing it as either 'positive' or 'negative' and returning the assigned classification.",0.9
4,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
4,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
4,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
4,"Assess the emotional tone of the provided text, categorizing it as either 'negative' or 'positive' and specifying the sentiment label.",0.95
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
4,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
4,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
4,"Determine the sentiment of the given statement, categorizing it as either 'positive' or 'negative' and returning the assigned classification.",0.9
5,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
5,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
5,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
5,"Assess the emotional tone of the provided text, categorizing it as either 'negative' or 'positive' and specifying the sentiment label.",0.95
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
5,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
5,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
5,"Determine the sentiment of the given statement, categorizing it as either 'positive' or 'negative' and returning the assigned classification.",0.9
6,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
6,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
6,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
6,"Assess the emotional tone of the provided text, categorizing it as either 'negative' or 'positive' and specifying the sentiment label.",0.95
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
6,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
6,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
6,"Examine the given text to determine its sentiment, distinguishing between expressions of positivity and negativity, and return a sentiment label.",0.9
7,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
7,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
7,Categorize a statement or tweet as conveying either a positive or negative opinion or sentiment.,0.95
7,"Assess the emotional tone of the provided text, categorizing it as either 'negative' or 'positive' and specifying the sentiment label.",0.95
7,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
7,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
7,"Given a sentence, classify the sentiment as either 'positive' or 'negative'.",0.9
7,"Given a sentence or tweet, classify its sentiment as 'negative' or 'positive'.",0.9
7,"Examine the given text to determine its sentiment, distinguishing between expressions of positivity and negativity, and return a sentiment label.",0.9
8,Evaluate the sentiment of the provided statement and categorize it as either a 'positive' or 'negative' sentiment.,0.95
8,"Determine the sentiment of the provided tweet or sentence, categorizing it as either 'positive' or 'negative'.",0.95
