step,prompt,score
1,"Analyze the provided sentences and categorize them as subjective or objective opinions, preserving their nuance and accuracy.",0.8
1,identify whether the given sentence was expressing an objective or a subjective opinion.,0.75
1,evaluate the given sentences and determine whether they are subjective or objective.,0.7
1,evaluate each sentence as either objective or subjective.,0.7
1,"Your task is to classify the comment ""subjective"" or ""objective"".",0.7
1,"Given a statement, classify it as expressing a subjective or objective opinion.",0.65
1,"Please perform Subjectivity Classification task. Given the sentence, assign a label from ['subjective', 'objective']. Return label only without any other text.",0.6
1,"Given a sentence, classify it as either subjective or objective category.",0.6
1,"Evaluate the category of a given sentence: identify whether it belongs to the subjective or objective category, and justify your classification with clear arguments.",0.6
1,Evaluate and label each sentence as 'subjective' or 'objective' based on its inherent qualities.,0.6
2,"Analyze the provided sentences and categorize them as subjective or objective opinions, preserving their nuance and accuracy.",0.8
2,identify whether the given sentence was expressing an objective or a subjective opinion.,0.75
2,"Classify the sentence as subjective or objective opinion, preserving nuance and accuracy, and perform assessment with precision and respect for the original text's subtleties.",0.75
2,evaluate the given sentences and determine whether they are subjective or objective.,0.7
2,evaluate each sentence as either objective or subjective.,0.7
2,"Your task is to classify the comment ""subjective"" or ""objective"".",0.7
2,Classify sentences into 'subjective' or 'objective' categories and provide the corresponding labels.,0.7
2,"Given a statement, classify it as expressing a subjective or objective opinion.",0.65
2,"Determine the inherent nature of the given sentence, distinguishing between objective opinions and subjective ones, and classify each accordingly.",0.65
2,"Accurately categorize the provided sentences into subjective or objective opinions, considering their inherent subtlety.",0.65
3,"Analyze the provided sentences and categorize them as subjective or objective opinions, preserving their nuance and accuracy.",0.8
3,identify whether the given sentence was expressing an objective or a subjective opinion.,0.75
3,"Classify the sentence as subjective or objective opinion, preserving nuance and accuracy, and perform assessment with precision and respect for the original text's subtleties.",0.75
3,evaluate the given sentences and determine whether they are subjective or objective.,0.7
3,evaluate each sentence as either objective or subjective.,0.7
3,"Your task is to classify the comment ""subjective"" or ""objective"".",0.7
3,"Disentangle the provided sentences to accurately categorize them into subjective or objective opinions, acknowledging their subtle nuances.",0.7
3,Classify sentences into 'subjective' or 'objective' categories and provide the corresponding labels.,0.7
3,"Given a statement, classify it as expressing a subjective or objective opinion.",0.65
3,"Determine the inherent nature of the given sentence, distinguishing between objective opinions and subjective ones, and classify each accordingly.",0.65
4,"Analyze the provided sentences and categorize them as subjective or objective opinions, preserving their nuance and accuracy.",0.8
4,identify whether the given sentence was expressing an objective or a subjective opinion.,0.75
