step,prompt,score
1,"Given a statement, classify it as expressing a subjective or objective opinion.",0.7
1,identify whether the given sentence was expressing an objective or a subjective opinion.,0.65
1,evaluate the given sentences and determine whether they are subjective or objective.,0.65
1,evaluate each statement as either subjective or objective.,0.65
1,"Your task is to classify the comment ""subjective"" or ""objective"".",0.65
1,"Please perform Subjectivity Classification task. Given the sentence, assign a label from ['subjective', 'objective']. Return label only without any other text.",0.6
1,"Given a sentence, classify it as either subjective or objective category.",0.6
1,"Determine the category of a movie review based on a given text, subjective or objective.",0.6
1,"As a classifier, analyze the provided phrases and classify them as either ""objective"" or ""subjective"", taking into account the meaning and relevant context.",0.55
1,"As a natural language processor, assess the linguistics of the statement after examining the sentence and evaluate it as either objective or subjective",0.4
2,"Evaluate this sentence as either subjective or objective, considering the meaning and context, and take into account that it could be either",0.75
2,identify whether the given sentence was expressing an objective or a subjective opinion.,0.65
2,evaluate the given sentences and determine whether they are subjective or objective.,0.65
2,evaluate each statement as either subjective or objective.,0.65
2,"The model should categorize sentences from the dataset as either ""subjective"" or ""objective"", taking into account the meaning and relevant context.",0.7
2,"Please perform Subjectivity Classification task. Given the sentence, assign a label from ['subjective', 'objective']. Return label only without any other text.",0.6
2,The goal is to determine the sentiment of a sentence and classify it as either subjective or objective.,0.75
2,"Determine the category of a movie review based on a given text, subjective or objective.",0.6
2,"As a classifier, analyze the provided phrases and classify them as either ""objective"" or ""subjective"", taking into account the meaning and relevant context.",0.55
2,"Determine the classification of the given sentences and analyze the opinions expressed in the text, categorizing them into either subjective or objective.",0.55
3,"Determine the intent of the given text and designate it as either subjective or objective, taking into account the meaning and context",0.85
3,identify whether the given sentence was expressing an objective or a subjective opinion.,0.65
3,evaluate the given sentences and determine whether they are subjective or objective.,0.65
3,evaluate each statement as either subjective or objective.,0.65
3,"The model should categorize sentences from the dataset as either ""subjective"" or ""objective"", taking into account the meaning and relevant context.",0.7
3,"I'll follow the instructions step-by-step to generate a better prompt.

1. Identify the different parts between the Prompt 1 and Prompt 2:

Prompt 1: The model should categorize sentences from the dataset as either ""subjective"" or ""objective"", taking into account the meaning and relevant context.
Prompt 2: Determine the classification of the given sentences and analyze the opinions expressed in the text, categorizing them into either subjective or objective.

Different parts:

* ""The model should"" vs ""Determine the classification""
* ""categorize sentences from the dataset as either"" vs ""classify the given sentences and analyze the opinions expressed in the text, categorizing them into""
* ""subjective or objective"" vs ""either subjective or objective""
* ""taking into account the meaning and relevant context"" vs ""taking into account the meaning and relevant context"" (this part is similar, no mutation needed)

2. Randomly mutate the different parts:

* ""The model should"" -> ""Analyze the text to""
* ""categorize sentences from the dataset as either"" -> ""classify the phrases in movie reviews""
* ""subjective or objective"" -> ""one of the categories""

Mutated parts:

* ""Analyze the text to classify phrases",0.65
3,The goal is to determine the sentiment of a sentence and classify it as either subjective or objective.,0.75
3,"Determine the category of a movie review based on a given text, subjective or objective.",0.6
3,"As a classifier, analyze the provided phrases and classify them as either ""objective"" or ""subjective"", taking into account the meaning and relevant context.",0.55
3,"Determine the classification of the given sentences and analyze the opinions expressed in the text, categorizing them into either subjective or objective.",0.55
4,"Determine the intent of the given text and designate it as either subjective or objective, taking into account the meaning and context",0.85
4,identify whether the given sentence was expressing an objective or a subjective opinion.,0.65
4,evaluate the given sentences and determine whether they are subjective or objective.,0.65
4,evaluate each statement as either subjective or objective.,0.65
4,"The model should categorize sentences from the dataset as either ""subjective"" or ""objective"", taking into account the meaning and relevant context.",0.7
