step,prompt,score
1,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.5
1,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
1,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
1,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.4
1,"Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text",0.3
1,"The objective is to identify the most suitable category for the question text and categorize it into one of the following categories: Description, Entity, Expression, Human, Location, or Number.</",0.25
1,"Determine the category that best describes this sentence: Description, Entity, Expression, Human, Location, or Number.",0.1
1,"I'll follow the instruction step-by-step to generate a better prompt.

1. Identify the different parts between the Prompt 1 and Prompt 2:
Prompt 1: Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text
Prompt 2: Assign this sentence to one of these categories: Description, Entity, Expression, Human, Location, or Number.

Different parts:
""Please perform Question Classification task"" vs ""Assign this sentence""
""Given the question, assign a label"" vs ""to one of these categories""
""'Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'"" vs ""Description, Entity, Expression, Human, Location, or Number""

2. Randomly mutate the different parts:
""Please perform Question Classification task"" -> ""Classify this text""
""Given the question, assign a label"" -> ""Categorize the input into one of the categories""
""'Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'"" -> ""categories like Description, Entity, or Location""
""this sentence"" -> ""the input text""
""to one of these categories",0.15
1,"Please select the correct classification for this sentence: Description, Entity, Expression, Human, Location, or Number.",0.05
1,"Classify this sentence by choosing one of the following options: Description, Entity, Expression, Human, Location, or Number.",0.05
2,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.5
2,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
2,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
2,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.4
2,"Determine the nature of the inquiry for this text and categorize it into one of the following labels: ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return the label only.",0.4
2,"The objective is to identify the most suitable category for the question text and categorize it into one of the following categories: Description, Entity, Expression, Human, Location, or Number.</",0.25
2,"Let's follow the instructions step-by-step to generate a better prompt.

1. Identify the different parts between the Prompt 1 and Prompt 2:

Prompt 1: Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text

Prompt 2: The objective is to identify the most suitable category for the question text and categorize it into one of the following categories: Description, Entity, Expression, Human, Location, or Number.

Different parts:
""Please perform Question Classification task"" vs ""The objective is to identify the most suitable category for the question text""
""assign a label from"" vs ""categorize it into one of the following categories""
""Return label only without any other text"" vs (no equivalent)

2. Randomly mutate the different parts:

""Please perform Question Classification task"" -> ""Determine the category that best describes this text""
""assign a label from"" -> ""classify the question into""
""Return label only without any other text"" -> ""provide a single category label""

Mutated parts:

* ""Determine the category that best describes this text""
* ""classify the question into""
*",0.3
2,"Let's follow the instructions step-by-step to generate a better prompt.

1. Identify the different parts between the Prompt 1 and Prompt 2:

Prompt 1: Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text
Prompt 2: Assign this sentence to one of these categories: Description, Entity, Expression, Human, Location, or Number.

Different parts:
""Please perform Question Classification task"" vs ""Assign this sentence""
""Given the question, assign a label"" vs ""to one of these categories""
""'Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'"" vs ""Description, Entity, Expression, Human, Location, or Number""

2. Randomly mutate the different parts:

""Please perform Question Classification task"" -> ""Classify this text""
""Given the question, assign a label"" -> ""Categorize the input into one of the categories""
""'Description', 'Entity', 'Expression', 'Human', 'Location', 'Number'"" -> ""categories like Description, Entity, or Location""
""this sentence"" -> ""the input text""
""to one of these categories",0.25
2,"Please select the correct classification for this sentence: Description, Entity, Expression, Human, Location, or Number.",0.05
2,"Classify this sentence by choosing one of the following options: Description, Entity, Expression, Human, Location, or Number.",0.05
3,"Your task is to choose a type of the question, from Description, Entity, Expression, Human, Location and Number.",0.5
3,"Please pick the category that matches this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
3,"Identify the category that corresponds to this sentence: Description, Entity, Expression, Human, Location, or Number.",0.4
3,"Determine the type of the given question and choose from Description, Entity, Expression, Human, Location and Number.",0.4
3,"Determine the nature of the inquiry for this text and categorize it into one of the following labels: ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return the label only.",0.4
3,"The objective is to identify the most suitable category for the question text and categorize it into one of the following categories: Description, Entity, Expression, Human, Location, or Number.</",0.25
3,"Let's follow the instructions step-by-step to generate a better prompt.

1. Identify the different parts between the Prompt 1 and Prompt 2:

Prompt 1: Please perform Question Classification task. Given the question, assign a label from ['Description', 'Entity', 'Expression', 'Human', 'Location', 'Number']. Return label only without any other text

Prompt 2: The objective is to identify the most suitable category for the question text and categorize it into one of the following categories: Description, Entity, Expression, Human, Location, or Number.

Different parts:
""Please perform Question Classification task"" vs ""The objective is to identify the most suitable category for the question text""
""assign a label from"" vs ""categorize it into one of the following categories""
""Return label only without any other text"" vs (no equivalent)

2. Randomly mutate the different parts:

""Please perform Question Classification task"" -> ""Determine the category that best describes this text""
""assign a label from"" -> ""classify the question into""
""Return label only without any other text"" -> ""provide a single category label""

Mutated parts:

* ""Determine the category that best describes this text""
* ""classify the question into""
*",0.3
