step,prompt,score
1,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
1,"Given a sentence, classify it as either positive or negative sentiment.",0.9
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
1,"Given text, classify whether it is positive or negative.",0.8
1,"Determine the sentiment of the text provided, positve or negative.",0.8
1,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
1,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
1,Classify a sentence as expressing optimism or pessimism.,0.65
2,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
2,"Given a sentence, classify it as either positive or negative sentiment.",0.9
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
2,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
2,"Determine the sentiment of the text provided, positve or negative.",0.8
2,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
2,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
2,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
3,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
3,"Given a sentence, classify it as either positive or negative sentiment.",0.9
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
3,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
3,"Determine the sentiment of the text provided, positve or negative.",0.8
3,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
3,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
3,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
4,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
4,"Given a sentence, classify it as either positive or negative sentiment.",0.9
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
4,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
4,"Determine the sentiment of the text provided, positve or negative.",0.8
4,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
4,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
4,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
5,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
5,"Given a sentence, classify it as either positive or negative sentiment.",0.9
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
5,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
5,"Determine the sentiment of the text provided, positve or negative.",0.8
5,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.75
5,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
5,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
6,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
6,"Assess the emotional tone of a given passage to determine if it conveys a favorable or unfavorable sentiment, analyzing",0.95
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
6,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
6,"Determine the sentiment of the text provided, positve or negative.",0.8
6,"When given an input statement, assess the passage to analyze the emotional tone it conveys and generate a sentiment word to describe the original text, labeling it as either positive or negative.",0.95
6,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
6,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
7,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
7,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
7,"Assess the emotional tone of a given passage to determine if it conveys a favorable or unfavorable sentiment, analyzing",0.95
7,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
7,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
7,"Determine the sentiment of the text provided, positve or negative.",0.8
7,"When given an input statement, assess the passage to analyze the emotional tone it conveys and generate a sentiment word to describe the original text, labeling it as either positive or negative.",0.95
7,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.65
7,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
8,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
8,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
8,"Assess the emotional tone of a given passage to determine if it conveys a favorable or unfavorable sentiment, analyzing",0.95
8,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
8,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
8,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
8,"Determine the sentiment of the text provided, positve or negative.",0.8
8,"When given an input statement, assess the passage to analyze the emotional tone it conveys and generate a sentiment word to describe the original text, labeling it as either positive or negative.",0.95
8,"As a sentiment classifier,",0.85
8,"Evaluate the given input as expressing either optimistic or pessimistic sentiment, and classify it accordingly.",0.75
9,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",1.0
9,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
9,"Assess the emotional tone of a given passage to determine if it conveys a favorable or unfavorable sentiment, analyzing",0.95
9,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.85
9,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
9,"Evaluate the text and classify whether it expresses a hopeful or despairing attitude, determining whether it is positive or negative.",0.9
9,"Determine the sentiment of the text provided, positve or negative.",0.8
9,"When given an input statement, assess the passage to analyze the emotional tone it conveys and generate a sentiment word to describe the original text, labeling it as either positive or negative.",0.95
9,"As a sentiment classifier,",0.85
9,"Assess the statement to categorize whether it expresses an optimistic or pessimistic sentiment, and classify it accordingly",0.8
