step,prompt,score
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
1,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.9
1,"Given a sentence, classify it as either positive or negative sentiment.",0.8
1,"Determine the sentiment of the provided text, categorizing it as either positive or negative opinion.",0.8
1,Determine the sentiment of the provided movie review by categorizing its sentiment as either positively inclined or negatively inclined.,0.8
1,"Determine the sentiment of a movie review based on a given text, positive or negative.",0.8
1,Classify the sentiment of the provided text as either 'positive' or 'negative',0.8
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
2,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.9
2,"Determine the sentiment of the movie review, labeling it as either positive or negative based on its emotional tone.",0.85
2,Classify the text as positive or negative in sentiment.,0.85
2,"Given a sentence, classify it as either positive or negative sentiment.",0.8
2,"Determine the sentiment of the provided text, categorizing it as either positive or negative opinion.",0.8
2,Determine the sentiment of the provided movie review by categorizing its sentiment as either positively inclined or negatively inclined.,0.8
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
3,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
3,Classify the provided movie reviews as positive or negative sentiment and return the corresponding label ('positive' or 'negative'),0.95
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
3,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.9
3,"Determine the sentiment of a provided movie review, classifying it as either positive or negative.",0.9
3,Classify the given text as either 'negative' or 'positive' and return the predicted sentiment.,0.9
3,"Determine the sentiment of the movie review, labeling it as either positive or negative based on its emotional tone.",0.85
3,Classify the text as positive or negative in sentiment.,0.85
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
4,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
4,Classify the provided movie reviews as positive or negative sentiment and return the corresponding label ('positive' or 'negative'),0.95
4,"Classify the given movie review as either 'positive' or 'negative' sentiment, considering its content",0.95
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
4,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.9
4,"Determine the sentiment of the provided movie reviews, returning a classification as either 'positive' or 'negative' based on the emotional tone.",0.9
4,"Determine the sentiment of a provided movie review, classifying it as either positive or negative.",0.9
4,Classify the sentiment of the provided movie review as either positive or negative based on its emotional tone.,0.9
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
5,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
5,"Classify the sentiment of the provided movie reviews, categorizing them as either 'positive' or 'negative' based on the emotional tone.",0.95
5,"Classify the sentiment of the movie review as either positive or negative, using its emotional tone to guide your conclusion.",0.95
5,Classify the provided movie reviews as positive or negative sentiment and return the corresponding label ('positive' or 'negative'),0.95
5,"Classify the given movie review as either 'positive' or 'negative' sentiment, considering its content",0.95
5,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
5,"Now you are a classifier, your task is to determine the sentiment polarity of the given text, whether positive or negative.",0.9
5,"Determine the sentiment of the provided movie reviews, returning a classification as either 'positive' or 'negative' based on the emotional tone.",0.9
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
6,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
6,"Classify the sentiment of the provided movie reviews, categorizing them as either 'positive' or 'negative' based on the emotional tone.",0.95
6,"Classify the sentiment of the movie reviews as 'positive' or 'negative' based on the emotional tone, similarly to evaluating a tweet's sentiment.",0.95
6,"Classify the sentiment of the movie review as either positive or negative, using its emotional tone to guide your conclusion.",0.95
6,Classify the provided movie reviews as positive or negative sentiment and return the corresponding label ('positive' or 'negative'),0.95
6,"Classify the given text as expressing a positive or negative sentiment about a movie, drawing from its content and linguistic cues.",0.95
6,"Classify the given movie review as either 'positive' or 'negative' sentiment, considering its content",0.95
6,"Your task is to classify the comment ""positive"" or ""negative"".",0.9
6,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text",0.9
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.95
7,"Given a statement, classify it as expressing a positive or negative opinion.",0.95
7,"Classify the sentiment of the provided movie reviews, categorizing them as either 'positive' or 'negative' based on the emotional tone.",0.95
7,"Classify the sentiment of the movie reviews as 'positive' or 'negative' based on the emotional tone, similarly to evaluating a tweet's sentiment.",0.95
7,"Classify the sentiment of the movie review as either positive or negative, using its emotional tone to guide your conclusion.",0.95
7,Classify the provided movie reviews as positive or negative sentiment and return the corresponding label ('positive' or 'negative'),0.95
7,"Classify the given text as expressing a positive or negative sentiment about a movie, drawing from its content and linguistic cues.",0.95
