step,prompt,score
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.95
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"The objective is to categorize the phrase sentiment in the given statement, considering its meaning and relevant context, and classify it as positive or negative.",0.95
1,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.8
1,"As a sentiment analyst, analyze a review and categorize it based on its expressed sentiment, aiming to identify whether it has a positive or negative tone.</prompt",0.9
1,"Given a sentence, classify it as either positive or negative sentiment.",0.75
1,"Please label the sentiment towards the movie of the given movie review. The sentiment label should be ""positive"" or ""negative"".",0.7
1,Classify a sentence as expressing optimism or pessimism.,0.65
1,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as  positive or as negative.",0.6
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.95
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.95
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"The objective is to categorize the phrase sentiment in the given statement, considering its meaning and relevant context, and classify it as positive or negative.",0.95
2,"As a sentiment analyst, analyze a movie review to determine the sentiment orientation, aiming to identify whether it is positive or negative.",0.85
2,"As a sentiment analyst, analyze a review and categorize it based on its expressed sentiment, aiming to identify whether it has a positive or negative tone.</prompt",0.9
2,"Given a sentence, classify it as either positive or negative sentiment.",0.75
2,"Analyze the sentiment in a given movie review and categorize it as positive emotions or negative opinions, considering the context and meaning, and indicate",0.85
2,Classify a sentence as expressing optimism or pessimism.,0.65
