step,prompt,score
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
1,"Given a sentence, classify it as either positive or negative sentiment.",0.85
1,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.8
1,Classify a sentence as expressing optimism or pessimism.,0.8
1,"Decode the emotional tone of the given text and classify it as expressing either positive or negative sentiment, considering the meaning and relevant context.",0.8
1,"Consider the following piece of text and process the input to determine its emotional tone, classifying it as either positive or negative.",0.7
1,"As a sentiment classifier, review the phrase to determine if it is analyzing the following customer review as expressing either positive or negative sentiment.</prompt",0.75
1,"Classify the sentiment of the given customer reviews and predict expressing either positive or negative sentiment, considering the",0.75
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
2,"Given a sentence, classify it as either positive or negative sentiment.",0.85
2,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.8
2,Classify a sentence as expressing optimism or pessimism.,0.8
2,"Decode the emotional tone of the given text and classify it as expressing either positive or negative sentiment, considering the meaning and relevant context.",0.8
2,"Consider the following piece of text and process the input to determine its emotional tone, classifying it as either positive or negative.",0.7
2,"As a sentiment classifier, review the phrase to determine if it is analyzing the following customer review as expressing either positive or negative sentiment.</prompt",0.75
2,"Classify the sentiment of the given customer reviews and predict expressing either positive or negative sentiment, considering the",0.75
3,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
3,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
3,"Given a sentence, classify it as either positive or negative sentiment.",0.85
3,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.8
3,Classify a sentence as expressing optimism or pessimism.,0.8
3,"Decode the emotional tone of the given text and classify it as expressing either positive or negative sentiment, considering the meaning and relevant context.",0.8
3,"Consider customer reviews and analyze them to determine their emotional tone, classifying them as expressing either positive or negative sentiment.",0.95
3,"As a sentiment classifier, review the phrase to determine if it is analyzing the following customer review as expressing either positive or negative sentiment.</prompt",0.75
3,"Label the customer feedback in the text review as expressing either positive or negative sentiment, considering the annotation.",0.8
4,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.9
4,"Your task is to classify the comment ""positive"" or ""negative"".",0.85
4,"Given a sentence, classify it as either positive or negative sentiment.",0.85
4,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.8
4,Classify a sentence as expressing optimism or pessimism.,0.8
4,"Decode the emotional tone of the given text and classify it as expressing either positive or negative sentiment, considering the meaning and relevant context.",0.8
4,"Consider customer reviews and analyze them to determine their emotional tone, classifying them as expressing either positive or negative sentiment.",0.95
4,"As a sentiment classifier, review the phrase to determine if it is analyzing the following customer review as expressing either positive or negative sentiment.</prompt",0.75
4,"Label the customer feedback in the text review as expressing either positive or negative sentiment, considering the annotation.",0.8
5,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
