step,prompt,score
1,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
1,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
1,"Given a sentence, classify it as either positive or negative sentiment.",0.9
1,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
1,"Your task is to classify the comment ""positive"" or ""negative"".",0.75
1,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.75
1,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.7
1,Classify a sentence as expressing optimism or pessimism.,0.7
1,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as  positive or as negative.",0.5
1,"The objective is to categorize the statement passages in reviews and label the emotions or attitudes, while considering the sentiment towards the movie of the given",0.6
2,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.9
2,"Given a statement, classify it as expressing a positive or negative opinion.",0.9
2,"Given a sentence, classify it as either positive or negative sentiment.",0.9
2,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
2,"Your task is to classify the comment ""positive"" or ""negative"".",0.75
2,"You are a sentiment classifier. To do this, you must first understand the meaning of the sentence and any relevant context. And then you should classify it as positive or negative.",0.75
2,"When given an English sentence, your task is to analyze it and generate a sentiment word to describe the original text, such as positive or negative.",0.7
2,Classify a sentence as expressing optimism or pessimism.,0.7
2,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as  positive or as negative.",0.5
2,"The objective is to categorize the statement passages in reviews and label the emotions or attitudes, while considering the sentiment towards the movie of the given",0.6
3,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
3,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
3,"Given a sentence, classify it as either positive or negative sentiment.",0.9
3,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
3,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
3,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
3,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
3,Classify a sentence as expressing optimism or pessimism.,0.7
3,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as  positive or as negative.",0.5
3,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
4,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
4,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
4,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
4,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
4,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
4,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
4,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
4,Classify a sentence as expressing optimism or pessimism.,0.7
4,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as  positive or as negative.",0.5
4,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
5,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
5,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
5,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
5,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
5,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
5,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
5,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
5,Classify a sentence as expressing optimism or pessimism.,0.7
5,The task is to classify the tone of the writing by examining a passage from movie reviews and determining the emotional tone as,0.65
5,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
6,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
6,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
6,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
6,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
6,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
6,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
6,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
6,Classify a sentence as expressing optimism or pessimism.,0.7
6,The task is to classify the tone of the writing by examining a passage from movie reviews and determining the emotional tone as,0.65
6,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
7,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
7,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
7,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
7,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
7,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
7,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
7,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
7,Evaluate the opinion and categorize its subjective attitude as expressing optimism or pessimism while considering the sentence's meaning and,0.85
7,The task is to classify the tone of the writing by examining a passage from movie reviews and determining the emotional tone as,0.65
7,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
8,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
8,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
8,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
8,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
8,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
8,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
8,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
8,Evaluate the opinion and categorize its subjective attitude as expressing optimism or pessimism while considering the sentence's meaning and,0.85
8,The task is to classify the tone of the writing by examining a passage from movie reviews and determining the emotional tone as,0.65
8,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
9,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
9,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
9,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
9,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
9,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
9,"As a sentiment classifier, analyze an utterance and categorize its polarized sentiment as positive or negative while taking into account the sentence's meaning and relevant context.",0.9
9,Analyze a piece of writing and classify its sentiment as either positive or negative.,0.9
9,Evaluate the opinion and categorize its subjective attitude as expressing optimism or pessimism while considering the sentence's meaning and,0.85
9,"As a sentiment analyst, analyze a review and determine the emotional tone, evaluating the emotional value as positive, negative, or neutral, while examining the passage from movie",0.9
9,"After examining the passage in a review, interpret the tone and categorize it as either positive or negative.",0.95
10,"The objective is to analyze the sentiment of phrases from a film critique, considering the context and meaning behind the text, and assign a sentiment",0.95
10,"As a sentiment analyzer, analyze social media posts and classify them as having a positive or negative sentiment, while considering the context and sentiment expressed.",0.95
10,"Examine the review and classify it as having a positive or negative sentiment, while considering the tone and context.",1.0
10,"Given a tweet, classify it as having a positive or negative sentiment.",0.85
10,"As an sentiment analyst, consider a phrase and classify it as having a particular tone, whether it is expressing a sentiment or not, as either positive or negative.",0.95
