task,optimizer,meta_llm,downstream_llm,evaluation_llm,random_seed,use_task_desc,train_score,test_score
agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,42,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",1.0,0.825
agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,47,"Your task is to identify the subject of the news piece and classify it into one of four categories: World, Sports, Business and Tech.",0.95,0.825
agnews,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,69,"The goal is to identify the journal article according to its primary theme and determine whether it belongs to the World, Sports, Business, or Tech category.</prompt",1.0,0.815
cr,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,42,"As a sentiment classifier, examine the user review statement and identify the sentiment orientation as either positive or negative, while understanding the meaning and any relevant context.",1.0,0.91
cr,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,47,"Please perform Sentiment Classification task. Given the sentence, assign a sentiment label from ['negative', 'positive']. Return label only without any other text.",0.95,0.965
cr,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,69,"As a sentiment analyzer, evaluate the input",1.0,0.905
sst-5,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,42,"Based on the given movie review, rate it into one of five ratings based on the sentiment: terrible, bad, okay, good, or great.",0.7,0.51
sst-5,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,47,"Classify the movie review provided to you into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6,0.5
sst-5,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,69,"Analyze the sentence and categorize it into one of five categories based on the sentiment: terrible, bad, okay, good, or great.",0.6,0.53
subj,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,42,"Given an expression, you need to judge whether it represents subjective or objective opinion by assessing the context and meaning.",0.9,0.665
subj,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,47,"Assess the given sentence and determine whether it is into subjective or objective opinion, evaluating the given sentences and their sentiment.",0.8,0.71
subj,evopromptde,meta-llama\Meta-Llama-3-70B-Instruct,gpt-4o-2024-05-13,meta-llama\Meta-Llama-3-70B-Instruct,69,"Considering its content, identify the nature of a passage as expressing a subjective or objective opinion from its wording.",0.85,0.71
